Region/Places,Lat,Long
Unity,8.4582525,29.9560547
Jonglei,8,32
Western Bahr El Ghazal,8.5455555,25.2224504
Abyei Administrative Area,9.41722,44.83141
Renk,11.2903587,32.9128787
Geziret Aba Village,13.3333,32.6167
Rabak Locality,13.1809,32.744
White Nile,9.3793534,31.3083422
Khartoum,15.5635972,32.5349123
South Darfur,11,25
North Darfur,16,26
Addis Ababa,9,38.75
Awash Region,8.992496,40.167674
Fentale Volcano Area,9.41722,44.83141
Gatumba,-3.3348819,29.2529634
Kinyinya,-3.6574594,30.3430215
Cibitoke,-2.8477341,29.261662
Mubimbi Idp Site,3.2843,29.497
Tana River,-1.5365119,39.5508374
Ayod,8.4248791,31.0281965
Pajiek,8.1392,31.1939
Jonglei,8,32
Malakal,9.5388487,31.6584168
Renk,11.2903587,32.9128787
Rubkona,9.3938319,29.6277306
Juba,4.8459246,31.5959173
Tonj North,8.2118597,29.1580575
Tambura,5.609579,27.4683476
Tonj East,7.8541497,29.3233312
Ayod,8.4248791,31.0281965
Jonglei Canal,6.9336718,31.5252704
Paguong,6.5,31.5
Bor,6.2074,31.5593
Malakal,9.5388487,31.6584168
Upper Nile,9,33
Tambura,5.609579,27.4683476
Panyikang,9.548193,31.1790523
Abyei,9.73052,28.4244529
Gorwai,8.1378373,31.192451
Jonglei,8,32
Ayod,8.4248791,31.0281965
Al-Duwaym,20.716667,34.9
Shabasha,14.1313712,32.2296602
Kosti,27.7792145,42.0595691
Mutimbuzi Bujumbura,-3.3200218,29.3332697
Gateri,-2.95167,29.16972
Sebeya River Northwest,10.75,1.66667
National-Level,23.1933793,108.1784607
Somalia,2.0469,45.3182
Yirol West,6.3756265,30.4588566
Yirol East Lakes,6.7738733,30.7665584
Baidit Subcounty,6.1833,31.6333
Panpandiar,6.225,31.6
Fangak,9.0444251,30.8256524
Akobo,7.09587,34.199255
Rumbek East,6.7614077,30.0433187
Aweil East,9.1738578,27.6449793
Aweil South,8.674098,27.683843
Malakal,9.5388487,31.6584168
South Sudan,7.8699431,29.6667897
Central Equatoria,4.8594,31.5712
Unity States,9.097,29.728
Bentiu-Yida,9.2315,29.8005
Pochalla,7.2059413,33.6768649
Western Bahr El Ghazal,8.5455555,25.2224504
Greater Pibor Administrative Area,6.7310125,33.5211474
Atriba,18.5333,38.4
Adbona,20.917,45.95
Agigtai Areas,18.3333,38.1667
Imehejek,4.7620743,32.7581757
Longiro Boma,4.5,33.5
Aweil,8.7693352,27.3962085
Northern Bahr El Ghazal,9,27
Unity,8.4582525,29.9560547
Sudd Region,6.5,31.5
Djibouti,11.8145966,42.8453061
Horn Of Africa,9.8333333,49.1666667
Afar Zone 2 ,13.6315813,40.5530957
Afar Zone 4,12.3336871,40.270099
Somali Region,7.2629844,43.5360531
Shabelle River,5.5193481,44.4450562
Kisumu Central ,-0.0991973,34.7626797
Kapuothe Sub-County ,-0.092,34.765
Nanga,-0.075,34.46
Lower Katuoro,-0.0992,34.7693
Wigwa,-0.115,34.7385
Dunga,-2.1126351,17.2192454
Highlands East,-0.5,37
Rift Valley,-0.5,35.5
Coastal,-4.0435,39.6682
North-Western,1.5,34
North-Eastern Kenya,1.0551081,40.2142534
Nairobi,-1.3026148,36.828842
Busia,0.3917103,34.0160135
Kisumu,-0.1029109,34.7541761
Bunyala Sub-County,0.0816245,34.0297557
Mombasa,-4.05052,39.667169
Kisumu Nyando,-0.2098978,34.9376686
Muhoroni,-0.1272987,35.0796519
Nyakach,-0.3213505,34.9317609
Kisumu Central,-0.0991973,34.7626797
Kisumu East,-0.0764386,34.8350324
Kisumu Kapuothe,-0.0915,34.7511
Dunga,-2.1126351,17.2192454
Highlands West Of The Rift Valley,0.025,35.625
Northern Rift Valley,1,36.5
Southern Rift valley,-1.5,36.5
Highlands East Of The Rift Valley,-0.5,37.5
Lower Shabelle Juba Camp In Weydow,4.8903,45.2275
Garasbaley,4.3158,45.7421
Unity State Ritriak Payam,8.7073,29.8536
Bentiu Hospital,9.2536006,29.8028703
Bentiu Idp Camp,19,-90.5
Rubkona,9.3938319,29.6277306
Upper Nile,9,33
Warrap,7.9132688,28.9588141
