,Dis No,Start Year,Start Month,Start Day,End Year,End Month,End Day
33,1993-0503-DJI,1993,1,26,1993,1,26
41,1990-0582-ETH,1990,8,27,1990,9,1
44,1990-0352-KEN,1990,4,14,1990,4,15
125,1993-0519-ETH,1993,8,1,1993,8,30
126,1993-0520-ETH,1993,8,1,1993,8,30
155,1990-0016-TZA,1990,4,3,1990,4,10
158,1990-0018-TZA,1990,5,2,1990,5,2
209,1993-0143-SDN,1993,4,16,1993,4,16
212,1993-0005-TZA,1993,2,12,1993,2,12
213,1993-0157-TZA,1993,5,6,1993,5,6
220,1994-0013-TZA,1994,1,9,1994,1,13
267,1994-0507-DJI,1994,11,19,1994,11,19
274,1994-0194-ETH,1994,8,15,1994,8,18
302,1995-0103-ETH,1995,4,28,1995,5,15
337,1996-0141-ETH,1996,6,8,1996,6,8
338,1996-0470-ETH,1996,8,12,1996,8,25
344,1996-0474-KEN,1996,4,6,1996,4,11
368,1997-0270-ETH,1997,10,26,1997,11,26
369,1997-0328-ETH,1997,4,19,1997,4,22
391,1997-0255-KEN,1997,9,1,1997,9,30
430,1994-0217-SDN,1994,9,13,1994,9,13
432,1994-0573-SOM,1994,11,11,1994,11,11
457,1995-0317-SOM,1995,11,5,1995,11,5
462,1995-0038-TZA,1995,3,8,1995,3,8
463,1995-0109-TZA,1995,5,26,1995,5,26
474,1996-0473-SOM,1996,6,13,1996,6,14
476,1996-0187-SDN,1996,8,13,1996,8,13
477,1996-0466-SDN,1996,10,22,1996,10,26
478,1996-0468-SDN,1996,9,11,1996,9,15
521,1997-0268-SDN,1997,10,1,1997,10,30
527,1997-0106-SOM,1997,5,2,1997,5,7
528,1997-0265-SOM,1997,10,19,1997,11,17
533,1997-0306-TZA,1997,12,20,1997,12,31
540,1997-0049-TZA,1997,4,4,1997,4,4
555,1998-0251-SDN,1998,8,28,1998,9,10
563,1998-0096-TZA,1998,4,8,1998,4,8
564,1998-0112-TZA,1998,4,27,1998,5,4
635,1998-0443-KEN,1998,5,1,1998,5,30
683,1999-0431-ETH,1999,10,30,1999,11,2
684,1999-0351-ETH,1999,8,23,1999,9,9
688,1999-0352-ETH,1999,8,1,1999,8,30
689,1999-0378-ETH,1999,9,20,1999,9,20
690,1999-0419-ETH,1999,10,11,1999,10,11
691,1999-0609-ETH,1999,10,1,1999,10,30
785,2000-0497-ETH,2000,8,10,2000,8,21
796,2000-0399-ETH,2000,6,29,2000,6,29
910,2001-0032-KEN,2001,1,13,2001,1,14
960,1999-0443-SDN,1999,10,9,1999,10,9
961,1999-0264-SDN,1999,8,1,1999,9,10
962,1999-0316-SDN,1999,9,10,1999,9,10
969,1999-0407-SDN,1999,10,1,1999,10,30
1033,2000-0259-SOM,2000,5,1,2000,5,1
1034,2000-0778-SOM,2000,11,20,2000,11,20
1039,2000-0490-SOM,2000,7,10,2000,7,10
1046,2000-0790-TZA,2000,12,1,2000,12,31
1164,2001-0448-ETH,2001,8,10,2001,8,10
1169,2001-0464-ETH,2001,7,1,2001,7,30
1170,2001-0769-ETH,2001,8,1,2001,8,30
1214,2002-0265-KEN,2002,4,26,2002,5,28
1252,2002-0225-ETH,2002,4,16,2002,4,21
1270,2002-0711-KEN,2002,11,17,2002,11,20
1271,2002-0689-KEN,2002,10,29,2002,11,4
1272,2002-0800-KEN,2002,12,21,2002,12,23
1370,2001-0541-RWA,2001,9,22,2001,9,22
1371,2001-0672-RWA,2001,10,30,2001,11,2
1372,2001-0417-SDN,2001,8,6,2001,9,13
1380,2001-0653-SOM,2001,11,1,2001,11,14
1391,2001-0109-TZA,2001,2,27,2001,2,27
1442,2002-0273-RWA,2002,4,26,2002,5,28
1503,2002-0515-SDN,2002,8,3,2002,8,3
1509,2002-0715-SOM,2002,11,8,2002,11,21
1519,2002-0274-TZA,2002,4,26,2002,5,28
1613,2003-0204-KEN,2003,4,1,2003,5,30
1644,2003-0368-ERI,2003,7,28,2003,8,21
1645,2003-0204-ETH,2003,4,28,2003,5,20
1651,2003-0729-KEN,2003,1,4,2003,1,6
1656,2004-0158-DJI,2004,4,12,2004,4,16
1658,2004-0194-KEN,2004,4,9,2004,5,11
