,sno,date of event,country,loc_list,loc_list_a,reported region/places,row_idx,report type
0,63,20241204,Somalia,Lower Shabelle (Juba camp in Weydow,Lower Shabelle (Juba camp in Weydow,"Lower Shabelle (Juba camp in Weydow, Garasbaley district)",fl_0,Drought Impact Report
0,63,20241204,Somalia, Garasbaley district),Lower Shabelle (Juba camp in Weydow,"Lower Shabelle (Juba camp in Weydow, Garasbaley district)",fl_0,Drought Impact Report
1,63,20241204,Somalia,Lower Shabelle (Juba camp in Weydow,Garasbaley district),"Lower Shabelle (Juba camp in Weydow, Garasbaley district)",fl_1,Drought Impact Report
1,63,20241204,Somalia, Garasbaley district),Garasbaley district),"Lower Shabelle (Juba camp in Weydow, Garasbaley district)",fl_1,Drought Impact Report
2,106,20241117,Somalia,East Africa,East Africa,East Africa,fl_2,1 - ongoing event
3,145,20241026,South Sudan,Various regions,Various regions,"Various regions, communities on higher ground",fl_3,UN Report
3,145,20241026,South Sudan, communities on higher ground,Various regions,"Various regions, communities on higher ground",fl_3,UN Report
4,145,20241026,South Sudan,Various regions,communities on higher ground,"Various regions, communities on higher ground",fl_4,UN Report
4,145,20241026,South Sudan, communities on higher ground,communities on higher ground,"Various regions, communities on higher ground",fl_4,UN Report
5,174,20241018,South Sudan,42 counties,42 counties,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_5,South Sudan Floods Snapshot
5,174,20241018,South Sudan, Abyei,42 counties,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_5,South Sudan Floods Snapshot
5,174,20241018,South Sudan, Northern Bahr el Ghazal,42 counties,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_5,South Sudan Floods Snapshot
5,174,20241018,South Sudan, Unity,42 counties,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_5,South Sudan Floods Snapshot
6,174,20241018,South Sudan,42 counties,Abyei,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_6,South Sudan Floods Snapshot
6,174,20241018,South Sudan, Abyei,Abyei,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_6,South Sudan Floods Snapshot
6,174,20241018,South Sudan, Northern Bahr el Ghazal,Abyei,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_6,South Sudan Floods Snapshot
6,174,20241018,South Sudan, Unity,Abyei,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_6,South Sudan Floods Snapshot
7,174,20241018,South Sudan,42 counties,Northern Bahr el Ghazal,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_7,South Sudan Floods Snapshot
7,174,20241018,South Sudan, Abyei,Northern Bahr el Ghazal,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_7,South Sudan Floods Snapshot
7,174,20241018,South Sudan, Northern Bahr el Ghazal,Northern Bahr el Ghazal,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_7,South Sudan Floods Snapshot
7,174,20241018,South Sudan, Unity,Northern Bahr el Ghazal,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_7,South Sudan Floods Snapshot
8,174,20241018,South Sudan,42 counties,Unity,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_8,South Sudan Floods Snapshot
8,174,20241018,South Sudan, Abyei,Unity,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_8,South Sudan Floods Snapshot
8,174,20241018,South Sudan, Northern Bahr el Ghazal,Unity,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_8,South Sudan Floods Snapshot
8,174,20241018,South Sudan, Unity,Unity,"42 counties, Abyei, Northern Bahr el Ghazal, Unity",fl_8,South Sudan Floods Snapshot
